Park,ParkLatitude,ParkLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
Jefferson Park,47.568067,-122.31144099999999,Pig Iron Bar-B-Q,47.55266759674339,-122.33405226374668,BBQ Joint
Jefferson Park,47.568067,-122.31144099999999,Dona Queen Donut & Deli,47.58063160508677,-122.32966437111334,Donut Shop
Jefferson Park,47.568067,-122.31144099999999,Stellar Pizza,47.55299179768201,-122.32080156976946,Pizza Place
Jefferson Park,47.568067,-122.31144099999999,Safari Restaurant,47.556062453830855,-122.28436653681008,African Restaurant
Jefferson Park,47.568067,-122.31144099999999,Daimonji Japanese Resturant,47.54757726889494,-122.32253294162483,Sushi Restaurant
Jefferson Park,47.568067,-122.31144099999999,Rainier Teriyaki,47.57306706778369,-122.29373958913288,Japanese Restaurant
Jefferson Park,47.568067,-122.31144099999999,Ben Thanh Restaurant,47.57486594609349,-122.29592481044008,Vietnamese Restaurant
Jefferson Park,47.568067,-122.31144099999999,Huarachitos Cocina Mexicana,47.55289018435021,-122.28864132675216,Mexican Restaurant
Jefferson Park,47.568067,-122.31144099999999,Hallava Falafel,47.58029179498617,-122.33463854078116,Food Truck
Jefferson Park,47.568067,-122.31144099999999,Taco Gol,47.58204137597969,-122.33322367340257,Taco Place
Jefferson Park,47.568067,-122.31144099999999,Domino's Pizza,47.578182,-122.29882544,Pizza Place
Jefferson Park,47.568067,-122.31144099999999,Toshio's Teriyaki,47.58817320495332,-122.30539781850798,Japanese Restaurant
Jefferson Park,47.568067,-122.31144099999999,Domino's Pizza,47.5630935,-122.2876793,Pizza Place
Jefferson Park,47.568067,-122.31144099999999,Cowgirls Espresso,47.54603009052125,-122.3171792330088,Café
Jefferson Park,47.568067,-122.31144099999999,Wendy’s,47.579779874790454,-122.29971711339203,Fast Food Restaurant
Jefferson Park,47.568067,-122.31144099999999,VA Seattle Canteen,47.56409967049436,-122.30879835159435,American Restaurant
Jefferson Park,47.568067,-122.31144099999999,The Original Philly's,47.57622025438255,-122.29696706250216,Sandwich Place
Jefferson Park,47.568067,-122.31144099999999,SODO Deli,47.57470700318075,-122.33408608897473,Deli / Bodega
Jefferson Park,47.568067,-122.31144099999999,Subway,47.552569878704,-122.32988045116707,Sandwich Place
Jefferson Park,47.568067,-122.31144099999999,Wabi-Sabi Sushi Bar and Restaurant,47.557621679546735,-122.28501748132184,Sushi Restaurant
Jefferson Park,47.568067,-122.31144099999999,Burger King,47.57408292452961,-122.32957050204277,Fast Food Restaurant
Jefferson Park,47.568067,-122.31144099999999,Viengthong,47.577678990693016,-122.29593622127776,Thai Restaurant
Jefferson Park,47.568067,-122.31144099999999,Marination Mobile,47.580597329359925,-122.33461940873653,Food Truck
